This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,station_id
"GCDW","GRAND COULEE",-118.9536,47.9453,402,"AGRIMET","30"
"GDVI","GRAND VIEW",-116.0561,42.9125,786,"AGRIMET","31"
"GERW","GEORGE",-119.6422,47.0439,351,"AGRIMET","32"
"GFRI","GLENNS FERRY",-115.3569,42.8667,922,"AGRIMET","33"
"GOLW","GOLDENDALE",-120.8244,45.8119,512,"AGRIMET","34"
"HERO","HERMISTON",-119.5122,45.8211,168,"AGRIMET","36"
"HRFO","HEREFORD",-118.0200,44.4881,1097,"AGRIMET","38"
"HRHW","HARRAH",-120.5744,46.3847,259,"AGRIMET","39"
"HRMO","HERMISTON (H",-119.2833,45.8194,185,"AGRIMET","40"
"IMBO","IMBLER",-117.9667,45.4333,838,"AGRIMET","41"
"KFLO","KLAMATH FALL",-121.7550,42.1647,1250,"AGRIMET","42"
"KFLW","KETTLE FALLS",-118.1242,48.5950,408,"AGRIMET","43"
"KTBI","KETTLE BUTTE",-112.3258,43.5486,1565,"AGRIMET","44"
"LAKO","LAKEVIEW",-120.5231,42.1222,1454,"AGRIMET","45"
"LBRW","LAKE BRYAN-R",-117.6542,46.6975,192,"AGRIMET","46"
"LEGW","LEGROW",-118.9361,46.2053,177,"AGRIMET","47"
"LIDW","LIND",-118.7394,46.8672,450,"AGRIMET","48"
"LORO","LORELLA",-121.2242,42.0778,1268,"AGRIMET","50"
"MALI","MALTA",-113.4139,42.4375,1344,"AGRIMET","51"
"MASW","MANSON",-120.1244,47.9169,601,"AGRIMET","52"
"MDFO","MEDFORD",-122.9378,42.3311,408,"AGRIMET","53"
"MNTI","MONTEVIEW",-112.5358,44.0150,1480,"AGRIMET","54"
"MRSO","MADRAS",-121.1486,44.6800,744,"AGRIMET","55"
"NMPI","NAMPA",-116.6369,43.4417,803,"AGRIMET","56"
"ODSW","ODESSA",-118.8786,47.3089,503,"AGRIMET","57"
"OMAW","OMAK",-119.5761,48.4025,376,"AGRIMET","58"
"ONTO","ONTARIO",-117.0153,43.9778,689,"AGRIMET","59"
"PARO","PARKDALE",-121.6167,45.5444,451,"AGRIMET","60"
"PCYO","PRAIRIE CITY",-118.6278,44.4408,1144,"AGRIMET","61"
"PICI","PICABO",-114.1658,43.3117,1494,"AGRIMET","62"
"PMAI","PARMA",-116.9333,43.8000,703,"AGRIMET","63"
"PNGO","PINEGROVE",-121.5056,45.6500,189,"AGRIMET","64"
"POBO","POWELL BUTTE",-120.9497,44.2483,975,"AGRIMET","65"
"RDBM","ROUNDBUTTE",-114.2806,47.5394,927,"AGRIMET","66"
"RPTI","RUPERT",-113.8381,42.5950,1266,"AGRIMET","67"
"RTHI","RATHDRUM PRA",-116.8414,47.7956,698,"AGRIMET","68"
"RXGI","REXBURG",-111.7667,43.8500,1486,"AGRIMET","69"
"SBMW","SEVEN BAYS M",-118.3411,47.8553,418,"AGRIMET","70"
"SILW","SILCOTT ISLA",-117.1847,46.4186,251,"AGRIMET","72"
"WRDO","WORDEN",-121.7869,42.0169,1244,"AGRIMET","74"
"KNSI","SAN NICOLAS",-119.4528,33.2347,153,"COOP","4150"
"010008","ABBEVILLE",-85.2483,31.5703,139,"COOP","7859"
"010063","ADDISON",-87.1814,34.2031,233,"COOP","7860"
"010071","ADDISON CENT",-87.3167,34.4167,302,"COOP","7861"
"010140","ALBERTA",-87.4267,32.2389,53,"COOP","7866"
"010148","ALBERTVILLE",-86.1667,34.2333,348,"COOP","7867"
"010160","ALEXANDER CI",-85.9481,32.9453,224,"COOP","7868"
"010163","ALEXANDER CI",-85.8667,32.9833,201,"COOP","7869"
"010178","ALICEVILLE",-88.1269,33.1394,73,"COOP","7871"
"010184","ALICEVILLE L",-88.2878,33.2100,50,"COOP","7872"
"010252","ANDALUSIA 3",-86.5222,31.3067,76,"COOP","7873"
"010260","ANDERSON",-87.2747,34.9092,209,"COOP","7874"
"010338","ARLEY 1 S",-87.2333,34.0667,227,"COOP","7877"
"010369","ASHLAND 3 EN",-85.7789,33.2942,312,"COOP","7878"
"010377","ASHVILLE 4 W",-86.3333,33.8500,180,"COOP","7879"
"010390","ATHENS",-86.9511,34.7772,207,"COOP","7880"
"010395","ATHENS 2",-86.9833,34.8000,219,"COOP","7881"
"010402","ATMORE",-87.4389,31.1819,91,"COOP","7883"
"010407","ATMORE",-87.5167,31.0167,67,"COOP","7884"
"010425","AUBURN NO 2",-85.4653,32.5992,166,"COOP","7886"
"010430","AUBURN AGRON",-85.5000,32.6000,199,"COOP","7888"
"010440","AUTAUGAVILLE",-86.6800,32.4706,61,"COOP","7889"
"010505","BANKHEAD LOC",-87.3572,33.4528,85,"COOP","7890"
"010583","BAY MINETTE",-87.7875,30.8842,83,"COOP","7893"
"010616","BEATRICE",-87.2119,31.7222,54,"COOP","7894"
"010631","BELGREEN",-87.8667,34.4667,247,"COOP","7895"
"010655","BELLE MINA 2",-86.8825,34.6908,183,"COOP","7896"
"010748","BERRY 3 NW",-87.6497,33.6944,154,"COOP","7897"
"010757","BESSEMER 3 S",-87.0167,33.3667,165,"COOP","7898"
"010764","BESSEMER 3 W",-87.0078,33.3953,136,"COOP","7900"
"010823","BILLINGSLEY",-86.6653,32.6731,136,"COOP","7904"
"010854","BISHOP",-88.1167,34.6500,143,"COOP","7909"
"010957","BOAZ",-86.1633,34.2008,326,"COOP","7911"
"011069","BRANTLEY",-86.2667,31.5833,82,"COOP","7912"
"011080","BREWTON 3 EN",-87.0492,31.1414,49,"COOP","7913"
"011084","BREWTON 3 SS",-87.0542,31.0578,26,"COOP","7914"
"011099","BRIDGEPORT 5",-85.8008,34.9786,204,"COOP","7915"
"011143","BROOKWOOD",-87.2936,33.2536,157,"COOP","7916"
"011178","BRUNDIDGE",-85.8369,31.7056,139,"COOP","7917"
"011225","CAHABA PUMP",-86.7153,33.4514,141,"COOP","7920"
"011288","CALERA",-86.7461,33.1106,162,"COOP","7921"
"011300","CAMDEN 3 NNW",-87.3167,32.0333,34,"COOP","7922"
"011324","CAMP HILL 2",-85.6561,32.8236,207,"COOP","7925"
"011377","CARBON HILL",-87.5269,33.8931,131,"COOP","7926"
"011490","CENTRE",-85.7017,34.1503,183,"COOP","7928"
"011492","CENTER GROVE",-86.6333,34.3833,238,"COOP","7929"
"011512","CENTRE 4 SW",-85.7333,34.1167,188,"COOP","7931"
"011520","CENTREVILLE",-87.1333,32.9500,67,"COOP","7932"
"011566","CHATOM",-88.2506,31.4711,46,"COOP","7934"
"011615","CHILDERSBURG",-86.3667,33.2833,146,"COOP","7935"
"011620","CHILDERSBURG",-86.3436,33.2822,127,"COOP","7936"
"011685","CITRONELLE",-88.2333,31.0833,101,"COOP","7937"
"011690","CLAIBORNE L",-87.5500,31.6167,15,"COOP","7938"
"011694","CLANTON",-86.6522,32.8200,186,"COOP","7939"
"011725","CLAYTON",-85.4789,31.8844,152,"COOP","7940"
"011803","CODEN",-88.2281,30.3878,4,"COOP","7942"
"011807","COFFEE SPRIN",-85.9333,31.1833,76,"COOP","7943"
"011810","COFFEEVILLE",-88.1283,31.7556,7,"COOP","7944"
"011849","COLLINSVILLE",-85.8833,34.2500,229,"COOP","7946"
"011865","COLUMBIA",-85.1167,31.2833,27,"COOP","7947"
"011940","CORDOVA 2 EN",-87.1500,33.7500,98,"COOP","7948"
"011974","COTTONTON",-85.0667,32.1500,66,"COOP","7950"
"012079","CUBA",-88.3833,32.4333,67,"COOP","7951"
"012096","CULLMAN NAHS",-86.7972,34.1925,192,"COOP","7952"
"012119","DADEVILLE",-85.7500,32.8167,198,"COOP","7953"
"012124","DADEVILLE 2",-85.7358,32.8622,223,"COOP","7954"
"012141","DANCY 4 N",-88.2833,33.0667,64,"COOP","7955"
"012149","DANVILLE",-87.0833,34.4167,183,"COOP","7956"
"012172","DAUPHIN ISLA",-88.0833,30.2500,2,"COOP","7959"
"012188","DAYTON 1 N",-87.6500,32.3667,70,"COOP","7960"
"012207","DECATUR",-86.9667,34.5833,177,"COOP","7961"
"012209","DECATUR 5 SE",-86.9539,34.5658,175,"COOP","7962"
"012216","DECATUR 4",-86.9833,34.6167,174,"COOP","7963"
"012221","DECATUR SUBS",-86.9667,34.6000,180,"COOP","7964"
"012235","DELTA",-85.7000,33.4333,314,"COOP","7965"
"012245","DEMOPOLIS LO",-87.8794,32.5192,30,"COOP","7967"
"012377","DOTHAN",-85.3708,31.1942,84,"COOP","7970"
"012386","DOUBLE SPRIN",-87.4167,34.1500,247,"COOP","7971"
"012577","ELBA",-86.0667,31.4239,59,"COOP","7972"
"012632","ELROD",-87.7972,33.2569,77,"COOP","7974"
"012670","ENTERPRISE",-85.8500,31.3167,116,"COOP","7975"
"012675","ENTERPRISE 5",-85.9014,31.3836,143,"COOP","7976"
"012727","EUFAULA",-85.1500,31.8667,61,"COOP","7977"
"012730","EUFAULA WILD",-85.0858,32.0042,66,"COOP","7978"
"012742","WARRIOR LOCK",-87.8333,32.7833,34,"COOP","7980"
"012758","EVERGREEN",-86.9531,31.4447,88,"COOP","7981"
"012813","FAIRHOPE 2 N",-87.8808,30.5467,7,"COOP","7983"
"012832","FALCO OPEN P",-86.5500,31.1000,70,"COOP","7984"
"012840","FALKVILLE 1",-86.8833,34.3667,191,"COOP","7985"
"012848","FALLS CITY B",-87.3333,34.0667,198,"COOP","7986"
"012867","FARLEY",-86.5667,34.5667,174,"COOP","7987"
"012883","FAYETTE",-87.8219,33.6847,111,"COOP","7988"
"012945","FLAT ROCK",-85.6833,34.7667,427,"COOP","7989"
"012971","FLORENCE",-87.6833,34.8000,177,"COOP","7990"
"013024","FORT DEPOSIT",-86.5833,31.9833,153,"COOP","7992"
"013035","FORT MORGAN",-88.0167,30.2333,3,"COOP","7993"
"013043","FORT PAYNE",-85.7236,34.4406,280,"COOP","7994"
"013105","FRISCO CITY",-87.4203,31.3894,125,"COOP","7995"
"013151","GADSDEN",-86.0000,34.0167,174,"COOP","7996"
"013154","GADSDEN",-85.9878,34.0219,172,"COOP","7998"
"013160","GAINESVILLE",-88.1342,32.8347,38,"COOP","7999"
"013200","GARDEN CITY",-86.7500,34.0167,153,"COOP","8000"
"013251","GENEVA NO 2",-85.8708,31.0383,44,"COOP","8002"
"013271","GEORGIANA",-86.8061,31.6772,118,"COOP","8004"
"013308","GILBERTOWN",-88.3333,31.8833,40,"COOP","8005"
"013430","GORGAS 2 ENE",-87.1833,33.6667,107,"COOP","8007"
"013496","GREEN BAY",-86.2833,31.1833,85,"COOP","8009"
"013511","GREENSBORO",-87.5808,32.7017,67,"COOP","8010"
"013519","GREENVILLE",-86.6147,31.7947,104,"COOP","8012"
"013559","GULF SHORES",-87.6833,30.2833,3,"COOP","8014"
"013573","GUNTERSVILLE",-86.3297,34.3344,176,"COOP","8015"
"013578","GUNTERSVILLE",-86.2833,34.3667,186,"COOP","8017"
"013583","GUNTERSVILLE",-86.4000,34.4333,186,"COOP","8018"
"013620","HALEYVILLE",-87.6347,34.2311,280,"COOP","8020"
"013644","HAMILTON",-87.9833,34.1333,168,"COOP","8021"
"013645","HAMILTON 3 S",-87.9914,34.0967,133,"COOP","8022"
"013655","HANCEVILLE",-86.7625,34.0619,162,"COOP","8023"
"013697","HARRISBURG C",-87.1833,32.8000,183,"COOP","8024"
"013748","HAYNEVILLE",-86.5833,32.1833,52,"COOP","8026"
"013761","HEADLAND",-85.3397,31.3625,113,"COOP","8027"
"013775","HEFLIN",-85.6006,33.6483,259,"COOP","8028"
"013781","HELENA",-86.8336,33.2725,146,"COOP","8029"
"013816","HIGHLAND HOM",-86.2522,31.8814,132,"COOP","8031"
"013842","HIGHTOWER",-85.3781,33.5172,358,"COOP","8032"
"013899","HODGES",-87.9283,34.3606,256,"COOP","8033"
"013930","HOLT LOCK AN",-87.4500,33.2533,59,"COOP","8034"
"014060","HUNTSVILLE S",-86.5833,34.7167,186,"COOP","8035"
"014080","HURTSBORO",-85.4153,32.2428,111,"COOP","8038"
"014099","HYTOP",-86.1167,34.8167,494,"COOP","8040"
"014193","JACKSON",-87.9278,31.5250,67,"COOP","8043"
"014209","JACKSONVILLE",-85.7664,33.8167,209,"COOP","8045"
"014226","JASPER",-87.3150,33.9053,148,"COOP","8047"
"014274","JONES BLUFF",-86.7828,32.3233,45,"COOP","8048"
"014306","JORDAN DAM",-86.2500,32.6167,88,"COOP","8049"
"014431","KINSTON",-86.1947,31.2403,82,"COOP","8050"
"014502","LAFAYETTE 2",-85.4336,32.9069,226,"COOP","8051"
"014603","LAY DAM",-86.5167,32.9667,128,"COOP","8052"
"014619","LEEDS",-86.5272,33.5447,194,"COOP","8053"
"014627","LEESBURG",-85.7667,34.1833,180,"COOP","8054"
"014798","LIVINGSTON",-88.1897,32.5811,39,"COOP","8056"
"014822","LOCKHART",-86.3667,31.0167,88,"COOP","8057"
"014866","LOGAN MARTIN",-86.3333,33.4333,137,"COOP","8063"
"014884","LOUISVILLE",-85.5500,31.7833,146,"COOP","8064"
"014976","MADISON",-86.7500,34.7000,210,"COOP","8066"
"014996","MAGELLA",-86.8500,33.5000,198,"COOP","8067"
"015108","MARION 1 N",-87.3000,32.6333,64,"COOP","8070"
"015112","MARION 7 NE",-87.2681,32.7028,52,"COOP","8071"
"015116","MARION JUNCT",-87.1833,32.4500,62,"COOP","8072"
"015121","MARION JUNCT",-87.2306,32.4714,61,"COOP","8073"
"015140","MARTIN DAM",-85.9167,32.6667,104,"COOP","8075"
"015172","MATHEWS",-86.0003,32.2603,77,"COOP","8076"
"015354","MELVIN",-88.4586,31.9306,107,"COOP","8079"
"015382","MERTZ PONDVI",-87.3333,32.8833,183,"COOP","8080"
"015397","MIDWAY",-85.4953,32.0597,152,"COOP","8081"
"015417","MILLERS FERR",-87.3667,32.1000,24,"COOP","8082"
"015420","MILLERS FERR",-87.3981,32.1000,35,"COOP","8083"
"015435","MILLPORT 2 E",-88.0333,33.5700,84,"COOP","8086"
"015439","MILSTEAD",-85.8889,32.4419,66,"COOP","8087"
"015449","MINTER 3 NW",-87.0333,32.1000,113,"COOP","8088"
"015465","MITCHELL DAM",-86.4500,32.8000,107,"COOP","8090"
"015483","MOBILE",-88.0333,30.6833,3,"COOP","8094"
"015529","MONTE SANO",-86.5167,34.7500,488,"COOP","8096"
"015537","MONTEVALLO",-86.8667,33.0981,125,"COOP","8097"
"015553","MONTGOMERY 6",-86.2181,32.2600,69,"COOP","8102"
"015625","MOULTON",-87.3000,34.4667,192,"COOP","8104"
"015635","MOULTON 2",-87.2933,34.4856,197,"COOP","8105"
"015658","MOUNDVILLE",-87.6225,32.9947,37,"COOP","8106"
"015752","MUSCLE SHOAL",-87.5394,34.7889,163,"COOP","8108"
"015785","NATCHEZ",-87.2667,31.7167,55,"COOP","8109"
"015847","NEWBURG 2 NE",-87.5667,34.5167,184,"COOP","8111"
"015862","NEW MARKET",-86.4333,34.9000,232,"COOP","8112"
"015867","NEW MARKET 2",-86.4500,34.9167,223,"COOP","8113"
"015875","NEWTON",-85.6228,31.3458,42,"COOP","8114"
"016000","OAK MTN STAT",-86.6892,33.4047,201,"COOP","8116"
"016121","ONEONTA",-86.4692,33.9478,272,"COOP","8117"
"016129","OPELIKA",-85.4492,32.6592,195,"COOP","8118"
"016161","ORRVILLE",-87.2333,32.3000,61,"COOP","8119"
"016196","OWENS CROSS",-86.4453,34.5528,180,"COOP","8120"
"016218","OZARK 6 NNW",-85.6833,31.5333,143,"COOP","8121"
"016226","PAINT ROCK 2",-86.3333,34.7000,195,"COOP","8122"
"016246","PALMERDALE",-86.6431,33.7453,219,"COOP","8123"
"016329","PELL CITY 1",-86.2667,33.6000,183,"COOP","8127"
"016334","PENNINGTON 2",-88.0281,32.2258,26,"COOP","8128"
"016362","PERRYVILLE",-87.0928,32.6567,83,"COOP","8130"
"016398","PHENIX CITY",-85.0167,32.5000,174,"COOP","8133"
"016414","PICKENSVILLE",-88.2500,33.2167,52,"COOP","8134"
"016436","PINE APPLE",-86.9861,31.8817,81,"COOP","8136"
"016460","PINE HILL",-87.6000,31.9833,34,"COOP","8137"
"016468","PINE LEVEL 4",-85.9833,32.0333,146,"COOP","8138"
"016478","PINSON",-86.6847,33.6906,185,"COOP","8139"
"016501","PITTSVIEW",-85.1667,32.1833,77,"COOP","8140"
"016508","PLANTERSVILL",-86.9056,32.6131,70,"COOP","8141"
"016521","PLEASANT GRO",-85.9167,34.9500,192,"COOP","8142"
"016640","PRATTVILLE",-86.4833,32.4833,92,"COOP","8144"
"016684","PRIMROSE FAR",-86.2500,32.3000,55,"COOP","8146"
"016719","PUSHMATAHA",-88.3500,32.2000,79,"COOP","8147"
"016805","RED BAY",-88.1333,34.4333,207,"COOP","8149"
"016833","REDSTONE ARS",-86.6000,34.5833,174,"COOP","8150"
"016847","REFORM",-88.0200,33.3753,73,"COOP","8151"
"016937","RIVER FALLS",-86.5333,31.3500,55,"COOP","8152"
"016988","ROBERTSDALE",-87.7017,30.5650,49,"COOP","8155"
"017020","ROCKFORD 3 E",-86.1758,32.8711,228,"COOP","8156"
"017025","ROCK MILLS",-85.2892,33.1592,227,"COOP","8157"
"017131","RUSSELLVILLE",-87.7319,34.5100,253,"COOP","8159"
"017157","SAINT BERNAR",-86.8133,34.1736,244,"COOP","8160"
"017207","SAND MT SUBS",-85.9692,34.2872,335,"COOP","8162"
"017282","SAYRE 5 NW",-87.0500,33.7500,152,"COOP","8164"
"017304","SCOTTSBORO",-86.0536,34.6736,187,"COOP","8165"
"017310","SCOTTSBORO S",-86.0167,34.6833,201,"COOP","8166"
"017326","SEALE 3 ESE",-85.1233,32.2878,117,"COOP","8167"
"017328","SEALE",-85.1667,32.3000,119,"COOP","8168"
"017366","SELMA",-87.0153,32.4100,24,"COOP","8170"
"017460","SHOEMAKER SP",-87.2000,34.8500,186,"COOP","8173"
"017576","SLOCOMB",-85.6000,31.1167,76,"COOP","8174"
"017620","SNOW HILL",-87.0167,32.0000,70,"COOP","8176"
"017671","SOUTH HILL",-86.0333,34.4000,342,"COOP","8177"
"017947","SULLIGENT",-88.1325,33.8997,107,"COOP","8179"
"017963","SUTTLE",-87.1783,32.5411,44,"COOP","8181"
"017968","SWAIM",-86.2167,34.8833,204,"COOP","8182"
"017999","SYLACAUGA 4",-86.2114,33.2053,149,"COOP","8184"
"018012","SYLVANIA",-85.8167,34.5667,427,"COOP","8185"
"018024","TALLADEGA",-86.1350,33.4164,137,"COOP","8186"
"018038","TALLAPOOSA W",-86.2025,32.4392,54,"COOP","8188"
"018178","THOMASVILLE",-87.8833,31.5411,123,"COOP","8189"
"018209","THORSBY EXP",-86.6708,32.9206,207,"COOP","8191"
"018215","THURLOW DAM",-85.9000,32.5333,88,"COOP","8192"
"018259","TONEY",-86.7333,34.9000,253,"COOP","8194"
"018285","TRAFFORD",-86.7333,33.8167,143,"COOP","8195"
"018323","TROY",-85.9722,31.8075,152,"COOP","8196"
"018380","TUSCALOOSA A",-87.6092,33.2222,52,"COOP","8198"
"018385","TUSCALOOSA O",-87.5936,33.2097,46,"COOP","8200"
"018403","TUSKEGEE 3 S",-85.6500,32.3833,101,"COOP","8203"
"018438","UNION SPRING",-85.7464,32.0142,134,"COOP","8205"
"018446","UNIONTOWN",-87.5153,32.4511,85,"COOP","8206"
"018469","VALLEY HEAD",-85.6128,34.5667,324,"COOP","8208"
"018517","VERNON",-88.1275,33.7392,91,"COOP","8210"
"018605","WADLEY",-85.5667,33.1167,206,"COOP","8212"
"018608","WADLEY NR 2",-85.5800,33.1272,213,"COOP","8213"
"018637","WALLACE 2 E",-87.1789,31.2097,62,"COOP","8214"
"018648","WALNUT GROVE",-86.3069,34.0661,259,"COOP","8215"
"018653","WALNUT HILL",-85.8936,32.7028,125,"COOP","8216"
"018673","WARRIOR LOCK",-87.8306,32.7744,21,"COOP","8219"
"018686","WATERLOO",-88.0667,34.9167,140,"COOP","8220"
"018755","WEISS DAM",-85.8000,34.1333,180,"COOP","8222"
"018809","WEST BLOCTON",-87.1267,33.1178,152,"COOP","8223"
"018859","WETUMPKA",-86.2103,32.5906,78,"COOP","8225"
"018867","WHATLEY",-87.7097,31.6508,52,"COOP","8227"
"018875","WHEELER DAM",-87.3500,34.7833,177,"COOP","8228"
"018936","WIDOWS CREEK",-85.7500,34.8833,192,"COOP","8230"
"018980","WILSON DAM",-87.6167,34.8000,162,"COOP","8231"
"018998","WINFIELD 2 S",-87.8475,33.9111,143,"COOP","8232"
"019103","YATES HYDRO",-85.9000,32.5667,104,"COOP","8233"
"019350","YOUNGS STORE",-87.8667,34.9500,226,"COOP","8234"
"020060","AGUILA",-113.1875,33.9433,660,"COOP","8236"
"020080","AJO",-112.8617,32.3686,549,"COOP","8237"
"020088","AJO WELL",-112.8333,32.4500,436,"COOP","8238"
"020099","ALAMO DAM 6",-113.4667,34.2500,451,"COOP","8242"
"020100","ALAMO DAM",-113.5778,34.2281,393,"COOP","8243"
"020104","ALHAMBRA",-112.1167,33.5167,348,"COOP","8244"
"020159","ALPINE",-109.1469,33.8492,2454,"COOP","8245"
"020170","ALPINE 18 SW",-109.3278,33.6392,2792,"COOP","8246"
"020174","ALPINE 8 SSE",-109.1167,33.7383,2051,"COOP","8247"
"020204","AMADO",-111.0500,31.7167,930,"COOP","8248"
"020287","ANVIL RANCH",-111.3831,31.9792,838,"COOP","8249"
"020288","APACHE JUNCT",-111.4814,33.4625,631,"COOP","8250"
"020300","APACHE 6 WNW",-109.2333,31.7167,1641,"COOP","8252"
"020306","APACHE JUNCT",-111.5500,33.4167,525,"COOP","8253"
"020309","APACHE POWDE",-110.2500,31.9000,1124,"COOP","8255"
"020380","ARIVACA",-111.3350,31.5722,1103,"COOP","8257"
"020404","ARIZONA CITY",-111.6928,32.7597,456,"COOP","8258"
"020406","ARIZONA FALL",-111.9833,33.5000,381,"COOP","8259"
"020415","ARIZONA SONO",-111.1667,32.2500,860,"COOP","8260"
"020482","ASH FORK 6 N",-112.4833,35.3000,1671,"COOP","8264"
"020487","ASH FORK 3",-112.4886,35.1989,1585,"COOP","8265"
"020490","ASH FORK 5 N",-112.4667,35.2833,1695,"COOP","8266"
"020498","ASHURST HAYD",-111.2864,33.0869,472,"COOP","8269"
"020584","BAGDAD 2",-113.1333,34.6000,1255,"COOP","8273"
"020586","BAGDAD",-113.1739,34.5972,1205,"COOP","8274"
"020590","BAGDAD 8 NE",-113.0833,34.6500,1293,"COOP","8275"
"020625","BAR T BAR RA",-111.3667,34.0333,946,"COOP","8276"
"020632","BARTLETT DAM",-111.6497,33.8097,503,"COOP","8277"
"020660","BEARDSLEY",-112.3833,33.6667,387,"COOP","8279"
"020670","BEAVER CREEK",-111.7831,34.6417,1074,"COOP","8281"
"020672","BEAVER DAM",-113.9425,36.8969,572,"COOP","8283"
"020675","BEAVERHEAD L",-109.2167,33.6833,2467,"COOP","8284"
"020678","BELLEMONT NW",-111.8214,35.2300,2180,"COOP","8285"
"020680","BENSON",-110.3000,31.9667,1119,"COOP","8286"
"020683","BENSON 6 SE",-110.2403,31.8803,1125,"COOP","8287"
"020750","BETATAKIN",-110.5411,36.6778,2221,"COOP","8289"
"020768","BISBEE",-109.9167,31.4333,1618,"COOP","8292"
"020773","BISBEE 2",-109.8950,31.4269,1539,"COOP","8293"
"020775","BISBEE 1 WNW",-109.9289,31.4475,1695,"COOP","8294"
"020800","BLACK MOUNTA",-109.8667,36.1167,1937,"COOP","8297"
"020808","BLACK RIVER",-109.7517,33.4783,1849,"COOP","8298"
"020855","BLUE",-109.1667,33.5833,1652,"COOP","8299"
"020871","BLUE RIDGE R",-111.1892,34.6103,2097,"COOP","8300"
"020923","BOSLEY RANCH",-110.2000,32.5667,1464,"COOP","8304"
"020949","BOUSE",-114.0242,33.9431,282,"COOP","8305"
"020958","BOWIE",-109.4908,32.3236,1146,"COOP","8306"
"021001","BRIGHT ANGEL",-112.0631,36.2136,2560,"COOP","8308"
"021026","BUCKEYE",-112.5828,33.3761,271,"COOP","8309"
"021050","BULLHEAD CIT",-114.5678,35.1411,165,"COOP","8312"
"021059","BUMBLE BEE",-112.1500,34.2000,763,"COOP","8313"
"021101","BURRUS RANCH",-111.5333,35.2667,2074,"COOP","8314"
"021161","ARIZONA FALL",-111.9667,33.4833,381,"COOP","8316"
"021169","CAMERON 1 NN",-111.4000,35.8833,1269,"COOP","8317"
"021216","CAMP WOOD",-112.8667,34.8000,1742,"COOP","8320"
"021231","CANELO 1 NW",-110.5294,31.5589,1527,"COOP","8321"
"021248","CANYON DE CH",-109.5394,36.1533,1710,"COOP","8322"
"021282","CAREFREE",-111.9019,33.8161,771,"COOP","8324"
"021306","CASA GRANDE",-111.7147,32.8889,428,"COOP","8326"
"021314","CASA GRANDE",-111.5367,32.9947,433,"COOP","8327"
"021330","CASCABEL",-110.4131,32.3208,959,"COOP","8328"
"021353","CASTLE HOT S",-112.3617,33.9825,607,"COOP","8329"
"021361","CAVE CREEK",-111.9500,33.8333,647,"COOP","8332"
"021511","CHANDLER",-111.8333,33.3000,372,"COOP","8341"
"021514","CHANDLER HEI",-111.6819,33.2058,434,"COOP","8342"
"021574","CHEVELON RS",-110.9153,34.5400,2135,"COOP","8343"
"021614","CHILDS",-111.6981,34.3494,808,"COOP","8344"
"021654","CHINO VALLEY",-112.4567,34.7569,1448,"COOP","8346"
"021664","CHIRICAHUA N",-109.3572,32.0061,1615,"COOP","8347"
"021749","CIBECUE",-110.4875,34.0375,1518,"COOP","8349"
"021760","CLAY SPRINGS",-110.3167,34.3833,1926,"COOP","8350"
"021849","CLIFTON",-109.3072,33.0561,1073,"COOP","8351"
"021920","COLORADO CIT",-112.9719,36.9939,1527,"COOP","8357"
